Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2020-12-31,100.0,0.75,3.5,9.27545973,21294574.864031,962.2574819136909,8.95206796528455,961.671623581017,958.129159397552,8.77557112855749,8.148098579969075,21060272.6841303
2021-01-31,100.17693626,0.75,3.55,9.50417015,21230809.9164002,962.5171274384676,9.466381872906592,960.7781943498535,955.6593459481022,9.011378309074592,8.23325763920385,21169372.6943264
2021-02-28,99.92124453,0.75,3.45,10.53049636,21225484.0462737,960.9593119800849,9.317433706711986,960.7615761504849,962.2555052841977,8.889354802580957,8.425185851364759,21167635.5539409
2021-03-31,99.94918118,0.75,3.4,9.58540768,21266421.6134139,961.2296756864678,9.75346327845638,962.2574819136909,961.671623581017,8.95206796528455,8.77557112855749,21294574.864031
2021-04-30,100.23846188,0.75,3.3,10.37135914,21325889.3461495,959.9729851441457,10.15433020957322,962.5171274384676,960.7781943498535,9.466381872906592,9.011378309074592,21230809.9164002
2021-05-31,100.22344407,0.75,3.2,9.08045737,21334762.1159656,959.0917506696115,10.153500291900874,960.9593119800849,960.7615761504849,9.317433706711986,8.889354802580957,21225484.0462737
2021-06-30,100.76192321,0.75,3.2,8.83909395,21355617.4086756,959.4078352293736,10.469966607708308,961.2296756864678,962.2574819136909,9.75346327845638,8.95206796528455,21266421.6134139
2021-07-31,100.55491276,0.75,3.2,9.87867181,21393976.1592027,958.9769441921447,10.445966079968773,959.9729851441457,962.5171274384676,10.15433020957322,9.466381872906592,21325889.3461495
2021-08-31,100.83323018,0.75,3.0,9.90212293,21487994.4521198,964.1328690493021,10.579505208372519,959.0917506696115,960.9593119800849,10.153500291900874,9.317433706711986,21334762.1159656
2021-09-30,101.46746807,0.75,2.9,9.58020507,21573435.9891491,966.6058389149462,10.431280654755016,959.4078352293736,961.2296756864678,10.469966607708308,9.75346327845638,21355617.4086756
2021-10-31,101.96356227,0.75,2.8,8.99926627,21859497.0690284,969.6834938232357,10.351158828316938,958.9769441921447,959.9729851441457,10.445966079968773,10.15433020957322,21393976.1592027
2021-11-30,102.80237964,0.75,2.9,9.35801519,21872420.872411,972.5815874743188,10.39821445567306,964.1328690493021,959.0917506696115,10.579505208372519,10.153500291900874,21487994.4521198
2021-12-31,103.29890791,1.25,2.9,8.27188719,22118800.2899998,981.7359501536828,10.183200096668868,966.6058389149462,959.4078352293736,10.431280654755016,10.469966607708308,21573435.9891491
2022-01-31,103.68120989,1.75,3.05,9.5263744,22173619.3257965,983.5262902645084,10.122665577559388,969.6834938232357,958.9769441921447,10.351158828316938,10.445966079968773,21859497.0690284
2022-02-28,104.81470219,1.75,3.05,9.54087233,22254010.106304,984.2717087751162,10.066102902972982,972.5815874743188,964.1328690493021,10.39821445567306,10.579505208372519,21872420.872411
2022-03-31,105.73941222,2.5,2.95,9.44131967,22551921.8168791,983.7260751756029,10.073680449422415,981.7359501536828,966.6058389149462,10.183200096668868,10.431280654755016,22118800.2899998
2022-04-30,107.40707737,4.0,2.9,9.78696342,22707113.9207763,985.6274804523521,10.146809419647429,983.5262902645084,969.6834938232357,10.122665577559388,10.351158828316938,22173619.3257965
2022-05-31,108.95706261,4.0,3.12,9.89751122,23040053.3305742,986.3341704915022,10.109043072113975,984.2717087751162,972.5815874743188,10.066102902972982,10.39821445567306,22254010.106304
2022-06-30,110.89414488,5.5,3.86,9.4617133,23248740.0060464,989.138622793343,9.936307308840327,983.7260751756029,981.7359501536828,10.073680449422415,10.183200096668868,22551921.8168791
2022-07-31,112.09870001,7.5,4.58,11.30785309,23111813.8992673,987.6891571808873,9.7657353330698,985.6274804523521,983.5262902645084,10.146809419647429,10.122665577559388,22707113.9207763
2022-08-31,113.06276989,7.5,5.37,11.69088186,22942965.0647751,985.0756340194147,9.60551037391776,986.3341704915022,984.2717087751162,10.109043072113975,10.066102902972982,23040053.3305742
2022-09-30,111.9847259,8.5,5.85,11.49599812,22788841.6637368,985.9988626955169,9.528820193476397,989.138622793343,983.7260751756029,9.936307308840327,10.073680449422415,23248740.0060464
2022-10-31,111.13151259,9.0,6.02,12.64000717,22841318.5913994,988.041352181518,9.270608076945939,987.6891571808873,985.6274804523521,9.7657353330698,10.146809419647429,23111813.8992673
